region,Year,cdd
Michigan,2046,3491.4936255655066
Michigan,2047,3711.960965619323
Michigan,2048,4051.664583625427
Michigan,2049,3985.3946332901896
Michigan,2050,3672.2886943116937
Michigan,2051,3850.6942702178353
Michigan,2052,3269.237295803915
Michigan,2053,3977.75473762596
Michigan,2054,4311.517491216787
Michigan,2055,3805.464964739345
Michigan,2056,3509.3233116595825
Michigan,2057,3479.9808120283574
Michigan,2058,3818.591055044111
Michigan,2059,3820.090466459392
Michigan,2060,3740.637076020912
Michigan,2061,3513.8507242729206
Michigan,2062,3512.7125260355488
Michigan,2063,3421.8873454834484
Michigan,2064,3464.350422204271
Michigan,2065,3538.3972810848004
Michigan,2066,3419.1367235998405
Michigan,2067,3131.591172139068
Michigan,2068,3535.67958140094
Michigan,2069,3646.3796036676017
Michigan,2070,3100.5936614728744
Michigan,2071,3182.346666607618
Michigan,2072,3347.917704947673
Michigan,2073,3478.357365579769
Michigan,2074,3474.5142093608
Michigan,2075,3409.3549958521585
Michigan,2076,3578.406320799317
Michigan,2077,3365.0925196592884
Michigan,2078,2687.420255197588
Michigan,2079,3064.648269038877
Michigan,2080,3214.970757431141
Michigan,2081,3044.8654365418506
Michigan,2082,3249.6854226566206
Michigan,2083,3432.7111593992518
Michigan,2084,3240.991537307725
Michigan,2085,3249.892858964442
Michigan,2086,2918.989184867769
Michigan,2087,3151.145951328772
Michigan,2088,3397.196342607623
Michigan,2089,3338.7565519551817
Michigan,2090,3062.599990034837
Michigan,2091,3248.060002485194
Michigan,2092,2733.358949081413
Michigan,2093,3386.3909390392964
Michigan,2094,3664.460942309078
Michigan,2095,3210.365584793434
Michigan,2096,2964.35482384378
Michigan,2097,2904.555059454491
Michigan,2098,3264.9706819604858
Michigan,2099,3212.724806486911
p121,2020,3197.0221029029976
p121,2021,3130.2539286902484
p121,2022,3053.184813262821
p121,2023,3001.831307948909
p121,2024,3011.030090239355
p121,2025,2893.790089012684
p121,2026,2895.003278094288
p121,2027,2950.626996729544
p121,2028,3060.9963866008043
p121,2029,3068.823444553153
p121,2030,2485.0566355479395
p121,2031,2583.7564950554943
p121,2032,2893.980394126284
p121,2033,2971.890433930263
p121,2034,3009.0345445860435
p121,2035,2963.7048769711128
p121,2036,3144.5805452536
p121,2037,2998.278290332326
p121,2038,2377.372435295751
p121,2039,2760.571405662255
p121,2040,2969.2709538067365
p121,2041,2709.3466181376707
p121,2042,2753.965294259629
p121,2043,3166.293666510319
p121,2044,2891.720324303633
p121,2045,2953.3493635674176
p121,2046,2548.9350825868187
p121,2047,2813.5493315519466
p121,2048,2841.258068377743
p121,2049,2887.329192612991
p121,2050,2889.636402282023
p121,2051,2694.5428993933383
p121,2052,2347.732315353566
p121,2053,2877.538619444985
p121,2054,3074.212623459735
p121,2055,2705.7777508366344
p121,2056,2672.631251127758
p121,2057,2505.256443885503
p121,2058,2835.409492362407
p121,2059,2666.100628758361
p121,2060,2726.259606212228
p121,2061,2656.590429090514
p121,2062,2545.997499263399
p121,2063,2565.215947225398
p121,2064,2547.168659265303
p121,2065,2485.3282974788267
p121,2066,2464.76287571928
p121,2067,2485.341658443057
p121,2068,2603.689723461214
p121,2069,2634.853574094799
p121,2070,2056.711965783717
p121,2071,2166.4232698073456
p121,2072,2427.749320707398
p121,2073,2486.040545244304
p121,2074,2478.9058235830507
p121,2075,2479.921273208004
p121,2076,2612.9265443135478
p121,2077,2472.2647226939957
p121,2078,1889.4278823095108
p121,2079,2248.6817541352057
p121,2080,2417.9380605218967
p121,2081,2206.1643037977246
p121,2082,2269.6623432336846
p121,2083,2609.100590673823
p121,2084,2440.478173305361
p121,2085,2464.3923392639936
p121,2086,2048.206295503999
p121,2087,2368.406574481791
p121,2088,2358.868504325664
p121,2089,2392.0212188600417
p121,2090,2425.518488159799
p121,2091,2208.8973011223125
p121,2092,1924.4638656866164
p121,2093,2399.0842323285037
p121,2094,2591.7327010835247
p121,2095,2251.051881699575
p121,2096,2220.1091980734845
p121,2097,2030.172428215318
p121,2098,2366.521512547304
p121,2099,2181.769154252614
p13,2020,1364.1961775362306
p13,2021,1197.2008333333322
p13,2022,1600.9474999999986
p13,2023,1479.7499999999975
p13,2024,1540.2004166666643
p13,2025,1526.6274999999982
p13,2026,1187.299583333332
p13,2027,1555.0758333333306
p13,2028,1426.7004166666638
p13,2029,1282.4062499999982
p13,2030,1463.958749999998
p13,2031,1448.1133333333305
p13,2032,1421.067083333331
p13,2033,1425.2216666666643
p13,2034,1402.9529166666653
p13,2035,1146.565416666664
p13,2036,1216.0812499999988
p13,2037,1307.5674999999983
p13,2038,1475.5487499999977
p13,2039,1191.527499999999
p13,2040,1241.6120833333314
p13,2041,1364.4658333333318
p13,2042,1316.9924999999978
p13,2043,1243.4808333333317
p13,2044,1355.318749999998
p13,2045,1182.5879166666637
p13,2046,1287.893749999998
p13,2047,1244.7870833333318
p13,2048,1366.9745833333309
p13,2049,1354.3945833333316
p13,2050,1384.2016666666646
p13,2051,1467.3954166666654
p13,2052,1192.4445833333318
p13,2053,1324.072083333332
p13,2054,956.434999999998
p13,2055,1088.034166666665
p13,2056,1115.3683333333324
p13,2057,1018.8508333333324
p13,2058,1121.9433333333322
p13,2059,1386.8308333333312
p13,2060,1026.1674999999975
p13,2061,885.6104166666645
p13,2062,1250.0416666666652
p13,2063,1150.6749999999968
p13,2064,1178.640833333332
p13,2065,1225.2404166666647
p13,2066,880.5529166666652
p13,2067,1255.172083333331
p13,2068,1144.877916666665
p13,2069,1010.0216666666656
p13,2070,1177.2737499999976
p13,2071,1126.766666666665
p13,2072,1137.1124999999984
p13,2073,1102.5829166666645
p13,2074,1074.8712499999986
p13,2075,833.5833333333314
p13,2076,891.0716666666647
p13,2077,1026.9087499999982
p13,2078,1129.5587499999974
p13,2079,875.1095833333316
p13,2080,914.5358333333312
p13,2081,1077.8929166666649
p13,2082,979.6154166666648
p13,2083,907.8358333333308
p13,2084,1040.6641666666656
p13,2085,878.3799999999987
p13,2086,969.0483333333318
p13,2087,958.1170833333316
p13,2088,999.3237499999984
p13,2089,997.0229166666649
p13,2090,1022.519999999998
p13,2091,1092.3137499999982
p13,2092,871.8904166666654
p13,2093,991.1391666666656
p13,2094,651.6570833333315
p13,2095,769.169999999998
p13,2096,805.129166666665
p13,2097,716.5062499999983
p13,2098,769.9899999999977
p13,2099,1020.8133333333316
Rhode Island,2020,3625.5735248435935
Rhode Island,2021,3499.266754622221
Rhode Island,2022,3554.8321931791
Rhode Island,2023,3343.964041186373
Rhode Island,2024,3341.232125523972
Rhode Island,2025,3351.387585602283
Rhode Island,2026,3389.8236156052026
Rhode Island,2027,3490.494758405201
Rhode Island,2028,3443.5406425695896
Rhode Island,2029,3471.2421618958106
Rhode Island,2030,2972.653315619641
Rhode Island,2031,3021.496115331589
Rhode Island,2032,3444.967324609084
Rhode Island,2033,3425.02922670859
Rhode Island,2034,3446.5943905635345
Rhode Island,2035,3299.6371682840013
Rhode Island,2036,3461.420089327282
Rhode Island,2037,3459.206280875457
Rhode Island,2038,2951.46866105184
Rhode Island,2039,3080.9584103776474
Rhode Island,2040,3438.6169976905926
Rhode Island,2041,3184.544110676635
Rhode Island,2042,3174.8497127701457
Rhode Island,2043,3643.14271762486
Rhode Island,2044,3488.26163311276
Rhode Island,2045,3488.2701165823264
