region,Year,average_total_load
Tennessee,2094,378027.97150536685
Tennessee,2095,377821.81765025895
Tennessee,2096,378017.1851737881
Tennessee,2097,378752.8695429926
Tennessee,2098,379244.9090380989
Tennessee,2099,379348.13133836584
Delaware,2062,57362.34520277412
Delaware,2063,57349.0132005459
Delaware,2064,57608.693395732786
Delaware,2065,57247.29688595133
Delaware,2066,57200.69158462275
Delaware,2067,57023.71131579019
Delaware,2068,57292.95651489477
Delaware,2069,57200.973629564454
Delaware,2070,57687.24924027666
Delaware,2071,57980.70660224956
Delaware,2072,57846.65612691476
Delaware,2073,58022.46502296656
Delaware,2074,58313.25722222436
Delaware,2075,58473.56866397848
Delaware,2076,58634.86223160062
Delaware,2077,58860.998731558786
Delaware,2078,58984.56778706932
Delaware,2079,59317.62464286058
Delaware,2080,59440.890380462624
Delaware,2081,59486.71424416367
Delaware,2082,59946.71445622243
Delaware,2083,60028.9337691922
Delaware,2084,60306.2908348347
Delaware,2085,60625.99348677639
Delaware,2086,60737.777552042506
Delaware,2087,60961.05369431157
Delaware,2088,61266.690166938904
Delaware,2089,61461.44629203382
Delaware,2090,61598.476790403176
Delaware,2091,62137.982127553405
Delaware,2092,62064.91750009784
Delaware,2093,62593.000475786466
Delaware,2094,62734.689063588616
Delaware,2095,62785.549692995075
Delaware,2096,63238.88258908101
Delaware,2097,63451.10634869867
Delaware,2098,63694.5645039224
Delaware,2099,63888.63304544213
p86,2093,192642.205468205
p86,2094,195607.26156442708
p86,2095,196599.07009586602
p86,2096,198628.01237370964
p86,2097,200120.9512200296
p86,2098,201993.75365874707
p86,2099,204036.28132907266
Georgia,2045,612490.5027472525
Georgia,2046,621818.3378551098
Georgia,2047,620665.5799696314
Georgia,2048,620290.3460638091
Georgia,2049,624183.2137355966
Georgia,2050,629477.058995238
Georgia,2051,633865.3356663402
Georgia,2052,639288.5859885254
Georgia,2053,643147.5026660712
Georgia,2054,646090.6889275706
Georgia,2055,648875.2195638973
Georgia,2056,653736.1369198131
Georgia,2057,657788.7634809123
Georgia,2058,660952.6444869431
Georgia,2059,665093.9242142
Georgia,2060,667649.2407043426
Georgia,2061,672396.9633154979
Georgia,2062,676311.6841998881
Georgia,2063,680372.0270438412
Georgia,2064,682683.3949671396
Georgia,2065,687133.474121269
Georgia,2066,690637.0440511986
Georgia,2067,693954.4721960193
Georgia,2068,698847.4990635625
Georgia,2069,702967.7435574005
Georgia,2070,708052.3533090989
Georgia,2071,709270.588661449
Georgia,2072,712337.7347966752
Georgia,2073,719423.8539241668
Georgia,2074,721136.5928319843
Georgia,2075,724030.3710167496
Georgia,2076,724743.0445138963
Georgia,2077,727923.3047342714
Georgia,2078,728966.104098045
Georgia,2079,735230.4241548848
Georgia,2080,738805.4731486852
Georgia,2081,739908.2468791961
Georgia,2082,744237.4538995542
Georgia,2083,746374.1985769126
Georgia,2084,750762.5106662642
Georgia,2085,755180.0569593639
Georgia,2086,756445.2466131442
Georgia,2087,762060.8226837395
Georgia,2088,763493.7854815121
Georgia,2089,764082.7843086506
Georgia,2090,768770.9469428712
Georgia,2091,774770.6405758462
Georgia,2092,769475.8191997311
Georgia,2093,769747.5905741508
Georgia,2094,768180.7992374556
Georgia,2095,772218.2541273327
Georgia,2096,772805.2699696315
Georgia,2097,776897.4124665374
Georgia,2098,779191.687720797
Georgia,2099,783437.6832851175
Louisiana,2056,547870.0981774634
Louisiana,2057,553440.1125818117
Louisiana,2058,555464.6902141604
Louisiana,2059,560422.5883837722
Louisiana,2060,562127.8405210675
Louisiana,2061,569037.8092083399
Louisiana,2062,576791.0837430079
Louisiana,2063,583579.4545940029
Louisiana,2064,591193.7834128756
Louisiana,2065,599652.5867392396
Louisiana,2066,606726.6299355156
Louisiana,2067,614877.1321330628
Louisiana,2068,622518.9161257963
Louisiana,2069,630348.3505174593
Louisiana,2070,637193.6625479326
Louisiana,2071,644491.1662423036
Louisiana,2072,653645.213852774
Louisiana,2073,661180.0127079607
Louisiana,2074,669867.5724879995
Louisiana,2075,678423.5129413981
Louisiana,2076,686466.8811156382
Louisiana,2077,694225.7097253224
Louisiana,2078,702254.4631132471
Louisiana,2079,713495.3609639795
Louisiana,2080,720433.581638995
Louisiana,2081,729547.7902285978
Louisiana,2082,739764.2313423805
Louisiana,2083,747987.3760726162
Louisiana,2084,757493.216511626
Louisiana,2085,765294.9981580207
Louisiana,2086,776513.9820503731
Louisiana,2087,786617.0935142473
Louisiana,2088,796359.3620453463
Louisiana,2089,805623.0728783358
Louisiana,2090,813939.2878110209
Louisiana,2091,824295.0558059032
Louisiana,2092,836157.2159263453
Louisiana,2093,843777.6627042005
Louisiana,2094,855106.8528403655
Louisiana,2095,866022.6531506518
Louisiana,2096,874317.1326246802
Louisiana,2097,884015.8239103291
Louisiana,2098,892883.9297142716
Louisiana,2099,902584.3058445198
Alabama,2045,338872.9697686632
Alabama,2046,341657.3469798432
Alabama,2047,340221.8017445685
Alabama,2048,338142.66227485245
Alabama,2049,338624.87565206276
Alabama,2050,340103.49328592286
Alabama,2051,340422.8463594344
Alabama,2052,342593.3430312562
Alabama,2053,343161.02814759524
Alabama,2054,343193.3952193369
Alabama,2055,343140.476354793
Alabama,2056,344655.8832980077
Alabama,2057,345349.45657185285
Alabama,2058,345146.94484616234
Alabama,2059,346045.5766649006
Alabama,2060,345778.8698300753
Alabama,2061,346297.67867762875
Alabama,2062,348048.6619866737
Alabama,2063,347381.43997589994
Alabama,2064,348201.79902251094
Alabama,2065,347993.53776632185
Alabama,2066,348987.6397926823
Alabama,2067,348468.95500551694
Alabama,2068,349210.9155643475
Alabama,2069,349863.9533125419
Alabama,2070,350349.36049143045
Alabama,2071,350534.1614080945
Alabama,2072,349510.73499506834
Alabama,2073,350007.8077308891
Alabama,2074,349723.2184712528
Alabama,2075,349446.1479451155
Alabama,2076,349476.76244407485
Alabama,2077,349358.4461928911
Alabama,2078,349005.7556281096
Alabama,2079,348589.50888970844
Alabama,2080,348770.6318926528
Alabama,2081,349784.31714415515
Alabama,2082,349121.67454738164
Alabama,2083,349297.36629159964
Alabama,2084,349121.08324791654
Alabama,2085,350041.94274348253
Alabama,2086,348823.1069991868
Alabama,2087,348793.7920674794
Alabama,2088,349842.4082940977
Alabama,2089,349062.20387799665
Alabama,2090,347598.3078009441
Alabama,2091,345811.25570508896
Alabama,2092,344360.33468216396
Alabama,2093,344005.6337994647
Alabama,2094,343261.9264483027
Alabama,2095,342731.5512886283
Alabama,2096,341696.14012388384
Alabama,2097,342116.61205239117
Alabama,2098,340938.06728276686
Alabama,2099,339128.4263212208
p87,2056,150653.32043546636
p87,2057,150123.58779789592
p87,2058,148284.35725891462
p87,2059,147506.16615352334
p87,2060,147714.70773373664
p87,2061,148200.44659473005
p87,2062,148937.5503913529
p87,2063,149135.4189256241
p87,2064,149441.8558377411
p87,2065,149865.8378937915
p87,2066,150307.7174774919
p87,2067,150640.01298065958
p87,2068,151058.53631700607
p87,2069,151582.03598625466
p87,2070,151626.35564385043
p87,2071,151956.02376845173
p87,2072,152078.56146816784
p87,2073,152609.64627946675
p87,2074,152867.6712155708
p87,2075,153486.64086978137
p87,2076,153661.446224182
p87,2077,153711.26459761278
p87,2078,154041.0955814906
p87,2079,154342.1950584059
p87,2080,154685.2614190022
p87,2081,154886.51158497363
p87,2082,155313.35310261737
p87,2083,155556.61530730396
p87,2084,155697.49912503798
p87,2085,156017.59660987527
p87,2086,156598.3012066774
p87,2087,156642.49447228486
p87,2088,156838.8247225561
p87,2089,157172.09892862279
p87,2090,157392.08613238003
p87,2091,157458.63084147547
p87,2092,157574.77705795685
p87,2093,158071.20586156342
p87,2094,158128.27208685566
p87,2095,157972.76802813285
p87,2096,158193.51067370552
p87,2097,158518.7394922959
p87,2098,158600.32557659713
p87,2099,158400.27827217165
Maryland,2056,251848.15091449994
Maryland,2057,243998.2831776776
Maryland,2058,248035.78058110437
Maryland,2059,242870.95074467736
Maryland,2060,242413.8078065128
Maryland,2061,239800.2715959592
Maryland,2062,239448.50759518187
Maryland,2063,239107.27725692219
Maryland,2064,238059.2513663525
Maryland,2065,237318.16586724887
Maryland,2066,235241.02787638456
Maryland,2067,234372.90241927313
Maryland,2068,234079.0893114194
Maryland,2069,232921.9780823871
Maryland,2070,232521.0782331331
Maryland,2071,232337.53817278284
Maryland,2072,230344.85900329237
Maryland,2073,229851.45486548994
Maryland,2074,229274.50809732775
Maryland,2075,228790.90408474658
Maryland,2076,227695.73426628843
Maryland,2077,226902.6211370934
Maryland,2078,226816.1716775896
Maryland,2079,225765.54306306422
Maryland,2080,225344.9798313467
Maryland,2081,224283.49200474954
Maryland,2082,223939.12701349155
Maryland,2083,223031.02536035146
Maryland,2084,222431.85796578595
Maryland,2085,222056.07723913455
Maryland,2086,220712.54137743628
Maryland,2087,220139.75649523217
Maryland,2088,219853.2835309697
Maryland,2089,218876.56903888227
Maryland,2090,217856.30613911684
Maryland,2091,217018.15318035838
Maryland,2092,216407.483794255
Maryland,2093,215464.25137679954
Maryland,2094,214912.98755494767
Maryland,2095,213681.88330625792
Maryland,2096,213227.52667961418
Maryland,2097,212307.98642353003
Maryland,2098,211512.25439606316
Maryland,2099,210385.3634483417
Florida,2036,1148081.1717673799
Florida,2037,1168667.4246702844
Florida,2038,1180480.1890554037
Florida,2039,1197426.5075156975
Florida,2040,1217172.6361352054
Florida,2041,1235575.5351409684
Florida,2042,1254261.330986672
Florida,2043,1271625.0603271946
Florida,2044,1290340.5202939184
Florida,2045,1310392.1097413097
Florida,2046,1328131.0825088106
Florida,2047,1347039.4941049083
Florida,2048,1366634.3819802408
Florida,2049,1386017.2414768883
Florida,2050,1407455.7094264533
Florida,2051,1431270.7058632658
Florida,2052,1450237.2211370794
Florida,2053,1472241.4321197039
Florida,2054,1491312.9229543747
Florida,2055,1510044.3223528254
Florida,2056,1530191.3320028135
Florida,2057,1549652.4907976966
Florida,2058,1570733.8699085196
Florida,2059,1593882.777670675
Florida,2060,1614090.0273359274
Florida,2061,1634933.768010873
Florida,2062,1657709.806519086
Florida,2063,1679239.0449733757
Florida,2064,1705162.442542242
Florida,2065,1726004.5027796074
Florida,2066,1749690.1626424266
Florida,2067,1771906.313871696
Florida,2068,1789166.3720153917
Florida,2069,1796732.9809962388
Florida,2070,1812988.037528844
Florida,2071,1832367.6262589807
Florida,2072,1855658.5300065242
Florida,2073,1878124.9053360391
Florida,2074,1903303.9673577433
Florida,2075,1926876.8699438027
Florida,2076,1949286.7615482877
Florida,2077,1970128.3365238
Florida,2078,1989818.5395625879
Florida,2079,2019281.9241377204
Florida,2080,2051840.5702069236
Florida,2081,2086043.0140115211
Florida,2082,2119791.064322823
Florida,2083,2153669.56338732
Florida,2084,2186795.4742597314
Florida,2085,2223246.1089385347
Florida,2086,2258865.2940289467
Florida,2087,2294870.63694694
Florida,2088,2329778.3240633267
Florida,2089,2367556.2619191026
Florida,2090,2404398.4048543856
Florida,2091,2442817.347638094
Florida,2092,2480050.2983202497
Florida,2093,2519929.7245686124
Florida,2094,2559046.8511511786
Florida,2095,2598423.0218262174
Florida,2096,2637280.1461821077
Florida,2097,2679815.2497954727
Florida,2098,2721079.4263497526
Florida,2099,2762781.659517081
Mississippi,2060,193981.82482920075
Mississippi,2061,192474.16376058376
Mississippi,2062,190089.7134851042
Mississippi,2063,189494.90948760978
Mississippi,2064,189829.84754072936
Mississippi,2065,190014.6463882657
Mississippi,2066,190461.12164424424
Mississippi,2067,191064.41594165907
Mississippi,2068,191341.28336527327
Mississippi,2069,191941.50900634815
Mississippi,2070,192403.17172277742
Mississippi,2071,192814.6734395522
Mississippi,2072,193083.44974544123
Mississippi,2073,193721.08995793923
Mississippi,2074,193828.69983498723
Mississippi,2075,194140.21550616092
Mississippi,2076,194132.2236174645
Mississippi,2077,194742.4220893409
Mississippi,2078,194868.38033648115
Mississippi,2079,195218.883712179
Mississippi,2080,195880.95381069958
Mississippi,2081,195916.4690065959
Mississippi,2082,195986.2235607709
Mississippi,2083,196290.17969494272
Mississippi,2084,196804.1375164624
Mississippi,2085,197058.02459018753
Mississippi,2086,197386.9568003013
Mississippi,2087,197885.23999877044
Mississippi,2088,197771.1679794755
Mississippi,2089,197938.66815758692
Mississippi,2090,198269.6081554235
Mississippi,2091,198778.235799723
Mississippi,2092,198955.28122427015
Mississippi,2093,199135.5319588681
Mississippi,2094,199241.50290713442
Mississippi,2095,199620.4665097897
